atom1_l1,atom2_l1,atom1_l2,atom2_l2,orientation,z
Mo,Se,W,S,0,3.6471342685370742
Mo,Se,W,Se,0,4.9393987975951905
Mo,Te,W,S,0,5.5600000000000005
Mo,Te,W,Se,0,5.512865731462926
Mo,S,Zr,S,0,5.505010020040081
Mo,S,Zr,Se,0,4.837274549098197
Mo,S,Zr,Te,0,4.884408817635271
Mo,Se,Zr,S,0,4.911903807615231
Mo,Se,Zr,Se,0,5.07687374749499
Mo,Se,Zr,Te,0,5.446092184368738
Mo,Te,Zr,S,0,5.501082164328658
Mo,Te,Zr,Se,0,4.6487374749499
Mo,Te,Zr,Te,0,4.672304609218437
Nb,S,Hf,S,0,4.770501002004009
Nb,S,Hf,Se,0,4.825490981963928
Nb,S,Hf,Te,0,4.872625250501002
Nb,Se,Hf,S,0,4.959038076152305
Nb,Se,Hf,Se,0,5.017955911823648
Nb,Se,Hf,Te,0,5.1043687374749505
Nb,Te,Hf,S,0,5.237915831663328
Nb,Te,Hf,Se,0,4.872625250501002
Nb,Te,Hf,Te,0,4.5505410821643295
Nb,S,Mo,S,0,4.562324649298597
Nb,S,Mo,Se,0,4.688016032064128
Nb,S,Mo,Te,0,4.664448897795592
Nb,Se,Mo,S,0,4.762645290581163
Nb,Se,Mo,Se,0,4.876553106212425
Nb,Se,Mo,Te,0,5.045450901803608
Nb,Te,Mo,S,0,5.033667334669339
Nb,Te,Mo,Se,0,4.495551102204409
Nb,Te,Mo,Te,0,4.526973947895792
Nb,S,Nb,S,0,4.558396793587175
Nb,S,Nb,Se,0,4.625170340681363
Nb,S,Nb,Te,0,4.719438877755511
Nb,Se,Nb,S,0,4.821563126252506
Nb,Se,Nb,Se,0,4.782284569138277
Nb,Se,Nb,Te,0,4.959038076152305
Nb,Te,Nb,S,0,5.096513026052104
Nb,Te,Nb,Se,0,4.295230460921844
Nb,Te,Nb,Te,0,4.519118236472947
Nb,S,Pd,Te,0,4.852985971943888
Nb,Se,Pd,Te,0,4.1931062124248495
Nb,Te,Pd,Te,0,4.185250501002004
Nb,S,Pt,S,0,4.420921843687375
Nb,S,Pt,Se,0,4.393426853707415
Nb,Se,Pt,S,0,4.633026052104209
Nb,Se,Pt,Se,0,4.735150300601203
Nb,Te,Pt,S,0,5.512865731462926
Nb,Te,Pt,Se,0,4.9236873747495
Nb,S,Re,Se,0,5.292905811623247
Nb,Se,Re,Se,0,4.495551102204409
Nb,Te,Re,Se,0,4.499478957915832
Nb,S,Ta,S,0,4.617314629258518
Nb,S,Ta,Se,0,4.699799599198397
Nb,Se,Ta,S,0,4.907975951903808
