material_id,pretty_formula
mp-11447,UTe
mp-11675,NbTe2
mp-1168,HfTe5
mp-11687,VTe2
mp-11693,TePt
mp-1173507,Np2Te3
mp-1176,TbTe
mp-1179059,TeMo6
mp-11800,Co3Se4
mp-1181516,CuTe
mp-1183040,ZrSe
mp-1183651,Cd3Te
mp-1183699,Co3Te
mp-1183984,Cu3Te
mp-1184256,Fe3Se
mp-1184307,Fe3Te
mp-1184385,Eu3Te
mp-1184509,GdTe
mp-1184749,IrSe
mp-1185605,LaSe3
mp-1185988,Mn3Te
mp-1185993,Mn3Te
mp-1186027,MoSe
mp-1186355,NpSe3
mp-1186391,NpTe3
mp-1186629,PmSe3
mp-1186975,Sc3Te
mp-1187016,ScTe3
mp-1187062,Th3Se
mp-1187303,Tb3Se
mp-1187309,Tb3Te
mp-1187392,Tc3Te
mp-1187477,Ti3Te
mp-1187912,Zn3Se
mp-1188427,Dy2Te3
mp-1189023,Cr2Se3
mp-1189791,Y2Te3
mp-1193776,Te5Pd21
mp-1197413,Sc9Te2
mp-1204799,Tc2Te5
mp-1205354,Sc2Se3
mp-1205384,LaTe2
mp-1206225,Tb2Te3
mp-1206927,Hf2Se
mp-1207258,Dy2Te3
mp-1207306,Y2Te3
mp-1207735,Y8Te3
mp-1207855,V5Te8
mp-1208221,Ti5Te8
mp-1208304,Te3Pd5
mp-1208342,TbTe3
mp-1213750,Cr5Te8
mp-1213754,Cr5Te8
mp-1213756,Cr7Te8
mp-1215359,Zr5Se8
mp-1215393,Zr3Te2
mp-1215634,Zr2Te3
mp-1216446,V9Te8
mp-1217116,Ti3Se
mp-1217180,Ti2Te3
mp-1217210,Ti2Te3
mp-1217357,Te8Ir3
mp-1217358,Te3Au
mp-1217429,Te16Rh9
mp-1217443,Te2Pd7
mp-1217447,Te10Rh7
mp-1217469,TbTe2
mp-1217665,Tb5Te9
mp-1217676,Tb8Se15
mp-1219373,Sc3Te4
mp-1219396,Sc2Te3
mp-1220085,Ni3Te4
mp-1220206,Nd4Te7
mp-1223902,HgTe
mp-1224444,Hf2Te3
mp-1224485,Hf2Se3
mp-1224800,FeTe2
mp-1225322,Dy4Te7
mp-1225676,Cu3Te2
mp-1225805,Cu2Se
mp-1226086,Cr5Te6
mp-1226090,Co5Te6
mp-1226350,Cr3Te5
mp-1226371,Cr2Se3
mp-1226456,Cr2Se3
mp-1226722,CdTe
mp-1229041,AgTe3
mp-1229101,Ag2Te
mp-1232216,PmSe2
mp-1232237,ScSe2
mp-12351,PrTe3
mp-1237467,CeSe2
mp-12383,Sc2Te3
mp-1247786,CeSe2
mp-1247858,Ag2Te
mp-12581,CdTe
mp-12779,CdTe
mp-12884,Hf5Te4
mp-13141,HgTe
mp-13152,TiSe
mp-1319,ZrTe
mp-1329,LaTe2
mp-1341,Te2Rh3
mp-1361,IrSe2
mp-13870,TaSe2
mp-1406,MnTe
mp-1447,SmSe
mp-1453,NdSe
mp-1507,HgTe
mp-15081,Sm2Se3
mp-1525,CeTe
mp-1539,ZrTe
mp-1551,Te2Ir
mp-1556,PuTe
mp-1560,LaTe
mp-1561,TbSe
mp-15651,NiSe
mp-15669,Ti3Te4
mp-1592,Ag2Te
mp-1628,TeRh
mp-16380,Nd2Te3
mp-1662,Te2Au
mp-1683,ZrSe3
mp-1708,YTe
mp-1782,ScSe
mp-1793,Zr3Te
mp-1811,HgTe
mp-1821,WSe2
mp-1830,NpTe
mp-1848,Te2Ru
mp-1861,Cu2Te
mp-1907,TiTe2
mp-1921,ThTe
mp-1967,TaTe2
mp-19736,EuTe
mp-19880,FeTe2
mp-20120,FeSe
mp-20123,Te2Au
mp-20196,NbTe4
mp-202,TaTe4
mp-203,NiTe
mp-20311,FeSe
mp-20328,U3Se4
mp-20414,U7Te12
mp-20438,PuTe
mp-20520,U3Te4
mp-2076,ZrSe2
mp-20826,CuTe
mp-20862,CoSe2
mp-2089,ZrTe3
mp-20901,NiSe2
mp-21009,EuSe
mp-21042,Te4Pt3
mp-21273,FeTe
mp-21335,UTe2
mp-2142,Te2Os
mp-21559,Zr2Te
mp-21576,Sc2Te
mp-2159,DyTe
mp-2176,ZnTe
mp-2189,CrSe
mp-21893,MnTe2
mp-2204,Nd3Te4
mp-2207,NbSe2
mp-22231,UTe3
mp-22297,Cu2Se
mp-22309,CoSe2
mp-22422,Ce3Te4
mp-2269,UTe
mp-22693,Te2W
mp-228,Te2Rh
mp-22817,TaTe4
mp-2285,Te2Ir
mp-2330,Nb2Se3
mp-2388,CdTe
mp-2418,PdSe2
mp-2503,Pd7Se4
mp-2532,PrTe
mp-2578,NiTe2
mp-267,Te2Ru
mp-2730,HgTe
mp-2750,Cr2Te3
mp-27793,Nb2Se
mp-27840,Cr3Se4
mp-28223,LaSe2
mp-28228,Ag7Te4
mp-28246,AgTe3
mp-28500,UTe5
mp-28919,Hf3Te2
mp-29639,Te7Pd20
mp-29652,TaSe3
mp-29907,Te4Pd9
mp-29957,Zr5Te6
mp-30067,Te3Pd10
mp-30797,Nb5Te4
mp-31103,Ni3Te2
mp-32578,Ce2Se3
mp-32581,Pr2Te3
mp-32654,Sc2Te3
mp-32682,Te8Ir3
mp-32688,Nd2Se3
mp-32755,La2Te3
mp-32811,Ag2Te
mp-32838,Ce2Te3
mp-32873,Hf23Se25
mp-32887,HfTe2
mp-342,SmTe
mp-350,Zr5Te4
mp-358,HgTe
mp-379,AgSe
mp-404,MnTe
mp-406,CdTe
mp-426,CoSe
mp-501,TaSe2
mp-505536,CeTe2
mp-505682,Dy2Te
mp-525,NbSe3
mp-540922,CrTe3
mp-541106,Nb2Se9
mp-541180,Te3Pt2
mp-541441,ZnTe
mp-541582,ReSe2
mp-541594,Sc8Te3
mp-542583,EuTe
mp-542621,TaSe2
mp-542634,Ta2Te3
mp-564,TePd
mp-567525,Te2Au
mp-567832,TiTe
mp-568220,NbTe4
mp-568251,Ni6Se5
mp-568593,Pd34Se11
mp-568761,AgTe
mp-568841,Np3Te4
mp-568865,ZrTe
mp-568998,CuSe
mp-569322,Te2Ir
mp-569388,Te2Ir
mp-569544,ZrTe
mp-570,NdTe
mp-570122,Cr3Te4
mp-570451,Nb2Te3
mp-570562,Te3Pt2
mp-570668,LaSe2
mp-570751,Nb3Te
mp-571033,NiSe
mp-571133,NbSe2
mp-571144,Sm3Te4
mp-571195,ZnTe
mp-571383,PdSe
mp-571486,CuSe
mp-571512,TePt
mp-571547,Te2Au
mp-571571,CeTe3
mp-571576,LaTe2
mp-571651,TiSe
mp-573810,U2Te5
mp-574283,GdTe
mp-583070,Re2Te5
mp-599,TiTe
mp-600216,U2Se3
mp-601823,TaTe2
mp-602,Te2Mo
mp-604910,MnSe
mp-604914,VSe
mp-604915,CrSe
mp-605,ZrTe5
mp-613,Te2Pd3
mp-618,Pd7Se2
mp-619501,U2Te3
mp-619905,Ti9Se2
mp-623012,CuTe
mp-624307,Cu7Te4
mp-638586,Te3Pd13
mp-642301,Y7Te2
mp-645273,Ce10Te19
mp-645449,Te3Au2
mp-650328,NbTe4
mp-651772,UTe5
mp-652044,Ce10Se19
mp-666,UTe2
mp-672389,MnTe
mp-680260,Ti45Se16
mp-680343,Ta21Te13
mp-684555,USe2
mp-684605,Cu17Se10
mp-684653,Cu2Se
mp-684787,U2Te3
mp-684798,Ag2Te
mp-684822,Co19Te34
mp-684844,Pu2Te3
mp-684869,Te16Rh11
mp-684876,Te40Rh31
mp-684911,Sm2Te3
mp-684965,ZrSe
mp-684997,Ni23Te42
mp-685003,Tb2Se3
mp-685007,Tb5Te9
mp-685031,Tb8Se15
mp-685047,V23Se40
mp-685048,Ag2Te
mp-685055,CrTe2
mp-685069,Sc2Te3
mp-685077,Fe2Te3
mp-685099,IrSe3
mp-685124,Ni19Se20
mp-685146,CdTe
mp-685189,Cu29Se19
mp-696673,Cr7Se8
mp-7007,NbSe2
mp-7131,PrTe
mp-722,Pr3Se4
mp-7273,Te8Rh3
mp-740,NdTe3
mp-7459,Te2Mo
mp-7498,Ti5Te4
mp-754,Te2Rh
mp-7564,Nb3Te4
mp-7581,MoSe2
mp-7818,Pd4Se
mp-782,Te2Pd
mp-7834,TaSe2
mp-788,CoTe
mp-794,CrTe
mp-7951,ThSe2
mp-807,NpTe
mp-8357,UTe3
mp-8591,USe2
mp-8601,Te4Mo3
mp-8628,Te4Pt3
mp-862863,Pa3Te
mp-862866,PaTe3
mp-865430,YTe
mp-865558,AcTe3
mp-867290,TbTe
mp-8732,Ta2Se
mp-879,La3Te4
mp-8884,ZnTe
mp-900,RhSe
mp-9281,ZnTe
mp-9399,SmTe3
mp-9429,USe3
mp-945077,YTe3
mp-948,ZnTe
mp-9521,Th7Te12
mp-974372,Rh3Se
mp-974469,ReTe
mp-975652,PrTe2
mp-976953,Ni3Te
mp-979273,TePd3
mp-982778,Zn3Se
mp-982779,NbTe
mp-9945,CoTe2
mp-9948,V5Te4
mvc-11438,CoSe2
mvc-11653,CrSe2
mp-1008876,MnCoS
mp-1018631,Dy(CuS)2
mp-1018637,Tb(CuS)2
mp-1018806,MoSeS
mp-1019322,Te2W
mp-1023124,Co2MoS4
mp-1023931,TeWS
mp-1023959,TeMoS
mp-1025224,V(CrS2)2
mp-1025269,Ti2CoS4
mp-1025305,Nb2CuS4
mp-1025312,Mn(NbS2)2
mp-1025350,Nb2CoS4
mp-1025368,Ti2VS4
mp-1025577,W3(SeS2)2
mp-1025584,W3(SeS2)2
mp-1025586,Te2W3S4
mp-1025588,W3(Se2S)2
mp-1025599,W3(Se2S)2
mp-1025769,Te4Mo3S2
mp-1025911,Mo2WS6
mp-1025922,Mo2WS6
mp-1025925,Mo3(SeS2)2
mp-1025937,Te4Mo3S2
mp-1025988,Mo3(SeS2)2
mp-1026020,Te2Mo3S4
mp-1026034,Mo(WS3)2
mp-1026916,MoSeS
mp-1026980,Mo2Se3S
mp-1027269,MoWS4
mp-1027335,MoWS4
mp-1027358,TeMoS
mp-1027412,TeMoS
mp-1027483,Mo2Se3S
mp-1027569,Mo3WS8
mp-1027580,MoSeS
mp-1027645,Mo3WS8
mp-1027647,MoWS4
mp-1027687,MoSeS
mp-1027696,TeMo2S3
mp-1027738,TeMoS
mp-1027890,Mo2SeS3
mp-1028487,W2SeS3
mp-1028492,TeW2S3
mp-1028512,TeW2S3
mp-1028586,Te2W
mp-1028604,TeWS
mp-1028690,TeWS
mp-1028755,Te3W2S
mp-1028761,TeWS
mp-1028769,W2Se3S
mp-1029246,MoW3S8
mp-1030461,TeMoS
mp-10328,LaCrS3
mp-10533,YCuS2
mp-10652,SmTe
mp-10748,TaCu3S4
mp-10754,Fe(RhS2)2
mp-1077935,V2CoS4
mp-1078000,Mn(CrS2)2
mp-1078077,V2CrS4
mp-1078387,FeCu3S4
mp-1078780,ZnCd3S4
mp-1080726,Zn3CrS4
mp-10933,Nd2TeS2
mp-1094066,ScAgS2
mp-1094100,Nb4CoS8
mp-1095296,Dy4Te3S4
mp-10953,Sc2CdS4
mp-1095468,Dy3Sc2S7
mp-1100884,Y6Mn11S20
mp-1103518,Dy(Mo3S4)2
mp-1103562,Nb(Mo3S4)2
mp-1103974,La(Mo3S4)2
mp-1103989,Nd(Mo3S4)2
mp-1104078,Y(Mo3S4)2
mp-1104162,Mn2ZnS4
mp-1104180,Pr2Te5
mp-1104449,Pr(Mo3S4)2
mp-1104677,Cd(Mo3S4)2
mp-1105097,Ti4CoS8
mp-1105614,NdScS3
mp-1105660,URuS3
mp-1105902,UCoS3
mp-1106085,Nb2PdS5
mp-1120816,Cu2SeS3
mp-1173016,Nb15IrS32
mp-1173110,Tb2EuS4
mp-1173526,Nb3NiS6
mp-1180758,LaTe2
mp-1181848,CdHgS4
mp-1184176,DyScS3
mp-1188199,Pr(YS2)3
mp-1188216,Ce2Te3
mp-1188262,TbScS3
mp-1188463,Th2FeS5
mp-1188689,Nd(YS2)3
mp-1188711,UVS3
mp-1188815,U2CoS5
mp-1188929,Ti(NbS2)3
mp-1189260,Nb3CrS6
mp-1189441,ThCrS3
mp-1189705,Ta9(CoS3)2
mp-1189927,EuZrS3
mp-1189957,Ta3RhS6
mp-1189962,PrScS3
mp-1190092,Ta3VS6
mp-1190131,LaScS3
mp-1191191,La3Fe2S7
mp-1191491,La4NiS7
mp-1191745,Sm4NiS7
mp-1191757,La4CoS7
mp-1192173,La3Co2S7
mp-1192708,U8CoS17
mp-1192725,Pr4CuS7
mp-1192730,V(MoS2)2
mp-1192773,Co(MoS2)2
mp-1192774,Hf9Re4S
mp-1192848,U8MnS17
mp-1192920,La4FeS7
mp-1193030,Ce4CoS7
mp-1193219,Fe(MoS2)2
mp-1193370,Nb2CuS4
mp-1193407,Dy2ZnS4
mp-1193731,U8VS17
mp-1193754,U8TiS17
mp-1193946,Mn(NbS2)2
mp-1194092,Hf9Mo4S
mp-1194113,Y2ZnS4
mp-1194374,Nb4VS8
mp-1195795,La4(YS2)11
mp-1195809,Gd2HfS5
mp-1195848,U6Rh2S15
mp-1196123,Nd2HfS5
mp-1196300,Nd2ZrS5
mp-1196472,Pr2US5
mp-1197050,Y2ZrS5
mp-1197117,Pr4(YS2)11
mp-1197619,La4(DyS2)11
mp-1198001,Dy2HfS5
mp-1198687,La2ZrS5
mp-1198956,Nd2ThS5
mp-1199023,Dy2ZrS5
mp-1199162,La2US5
mp-1199263,Ce4(YS2)11
mp-1199685,Cu2(ReS2)3
mp-1200233,DyAgS2
mp-1200242,GdAgS2
mp-1200447,LaYS3
mp-1201221,Ag2(RhS)15
mp-1202195,Pr2ZrS5
mp-1202577,Pr2ThS5
mp-1202732,Pd2(RhS)15
mp-1202803,Pu2US5
mp-1202826,Gd2US5
mp-1203122,Ce2ZrS5
mp-1203224,Pr2HfS5
mp-1203455,Sm2ThS5
mp-1206548,Nb2NiS4
mp-1207423,Zr9W4S
mp-1207526,Zr6FeS2
mp-1208142,V3(CuS2)4
mp-1208409,Ta3CoS6
mp-1209031,Sm3CrS6
mp-1209414,Sm4MnS7
mp-1209456,Sm4CrS7
mp-1209912,Pd3Se2S
mp-1209934,Pr4NiS7
mp-1210258,Pr4CrS7
mp-1210690,Pr4CoS7
mp-1210765,Nd4NiS7
mp-1211125,Nd4CoS7
mp-1211293,La(YS2)3
mp-1211414,LaTiS3
mp-1211918,La3Cu2S7
mp-1212783,Gd3TiS6
mp-1213337,Gd3ScS6
mp-1214220,Ce2Fe2S5
mp-1214308,Ce3CrS6
mp-1215176,ZrUS2
mp-1215189,ZrTiS4
mp-1215430,Zn2SeS
mp-1215436,Zn2FeS3
mp-1215446,Zn2SeS
mp-1215447,ZnHgS2
mp-1215469,ZnFeS2
mp-1215500,Zn3CoS4
mp-1215515,Zn4FeS5
mp-1215530,Zn2FeS3
mp-1215566,Zn5Se4S
mp-1215573,Zr2CoS4
mp-1215577,Zr2NiS4
mp-1215578,Zn4CdS5
mp-1215580,Zn5SeS4
mp-1215597,Zr2(SeS)3
mp-1215640,Zn2FeS3
mp-1215765,YUS2
mp-1215784,Zn4CdS5
mp-1216058,Y2TeS2
mp-1216101,Y4US7
mp-1216108,Y4CdS7
mp-1216124,Y4CrS7
mp-1216385,VCuS4
mp-1216534,U2SeS
mp-1216571,V2MoS4
mp-1216698,TiSeS
mp-1216784,TiMoS3
mp-1216843,V(CrS2)2
mp-1216896,TiCuS4
mp-1216903,TiCrS2
mp-1216997,V(Cr7S10)2
mp-1217001,U3TiS6
mp-1217134,Ti3VS4
mp-1217140,Ti3(SeS2)2
mp-1217143,Ti3AgS6
mp-1217148,Ti3VS6
mp-1217178,Ti3FeS6
mp-1217196,Ti5MnS10
mp-1217205,Ti5CuS10
mp-1217266,Ti(MoS2)2
mp-1217360,Ti(CrS2)2
mp-1217436,ThU2S5
mp-1217524,Th2(Mo3S4)5
mp-1217634,Tb3Sc2S7
mp-1217639,Tb4CeS7
mp-1217708,Tb2MnS4
mp-1217770,Ta2AgS4
mp-1217790,Ta(Mo2S5)2
mp-1217794,Ta10SeS3
mp-1217848,Tb(CuS)3
mp-1217910,TaMoS4
mp-1218002,Ta2MoS6
mp-1218051,Ta4MoS8
mp-1218053,Ta3(CuS3)2
mp-1218056,Ta4AgS8
mp-1218062,Ta3WS8
mp-1219053,SmEuS2
mp-1219055,SmGdS3
mp-1219140,Sm3YS4
mp-1219173,Sm4EuS5
mp-1219501,RuSeS
mp-1219515,Ru2SeS3
mp-1219720,PtSeS
mp-1219726,PrUS2
mp-1219732,Pt4SeS3
mp-1219738,PrSm3S4
mp-1219823,PrU2S5
mp-1219871,PdSeS
mp-1220154,NdU2S5
mp-1220442,Nb6ZnS8
mp-1220444,Nb6CdS8
mp-1220455,NbW3S8
mp-1220620,Nb3WS8
mp-1220692,Nb3IrS8
mp-1220696,Nb2AgS4
mp-1220938,Nb3(CuS3)2
mp-1221404,MoSeS
mp-1221485,Mo2SeS3
mp-1221501,Mo3(SeS)2
mp-1221502,MnZnS2
mp-1221529,MnZnS4
mp-1221530,MnZn4S5
mp-1221533,MnZn4S5
mp-1221534,MnZn3S4
mp-1221581,MnHg2S3
mp-1221590,MnHg3S4
mp-1221595,MnHg4S5
mp-1221643,MnCdS2
mp-1221701,MnVS2
mp-1221703,MnCd2S3
mp-1221706,Mn4CdS5
mp-1221772,MnCd4S5
mp-1221777,MnCd4S5
mp-1221805,Mn4FeS5
mp-1221850,Mn4CoS5
mp-1222040,Mn(CuS)2
mp-1222958,LaEuS2
mp-1223418,La2CeS4
mp-1223955,Hg2TeS
mp-1224418,Hf2(SeS)3
mp-1224432,Hf(US)3
mp-1224454,Hf3CoS6
mp-1224473,Hf2NiS4
mp-1224493,Hf4FeS8
mp-1224522,La9Mn5S21
mp-1224623,Hf8Mo5S
mp-1224776,Gd3Sc2S7
mp-1225004,FeCoS4
mp-1225090,FeNiS2
mp-1225163,Fe2SeS
mp-1225191,Fe3Rh3S8
mp-1225204,Fe3(Se2S)2
mp-1225337,Dy4MnS7
mp-1225651,DyCrS3
mp-1225702,CuNi3S8
mp-1225747,CuSeS
mp-1225772,Cu3Pd13S7
mp-1226019,Co5NiS8
mp-1226056,Co5CuS8
mp-1226064,CoNiS4
mp-1226070,CoCuS4
mp-1226106,CoRhS4
mp-1226130,Cr5NiS8
mp-1226263,Cr11NiS16
mp-1226267,Cr2SeS
mp-1226292,Cr4(SeS)3
mp-1226328,Cr4Te3S
mp-1226375,Cr3Rh3S8
mp-1226465,Co3Ni3S8
mp-1226504,Co(NiS2)2
mp-1226520,CeTh2S3
mp-1226610,CeY4S7
mp-1226713,CeDy4S7
mp-1226737,Ce2SeS
mp-1226812,Ce2ThS3
mp-1226820,Cd5TeS4
mp-1226846,Cd5Te4S
mp-1226907,Cd3FeS4
mp-1226929,Cd4CoS5
mp-1226961,Ce(PrS2)2
mp-1226993,La9Ni5S21
mp-1227026,Cd4FeS5
mp-1227523,CeU2S5
mp-1232268,Cr2AgS4
mp-1232346,Cr2AgS4
mp-1237864,Nb2CuS4
mp-1238784,Cr2HgS4
mp-1238791,Cr2CuS4
mp-1238836,Cr2HgS4
mp-1238867,Cr2CuS4
mp-1239173,Cr2AgS4
mp-1239177,Cr2AgS4
mp-1239184,Cr2HgS4
mp-14025,Zr2CuS4
mp-1492,CdTe
mp-15613,Cu(RhS2)2
mp-15958,Nb3VS6
mp-15973,Cr2HgS4
mp-16684,PrCuS2
mp-16919,Y2HfS5
mp-17105,Hf9V4S
mp-19866,UTeS
mp-20499,Sc2FeS4
mp-20961,EuPd3S4
mp-21019,Cr2FeS4
mp-2127,Pr3Te4
mp-21338,U(Mo3S4)2
mp-21871,CeCrS3
mp-22063,UCrS3
mp-22119,U(PdS2)2
mp-22613,Nb3FeS6
mp-22658,Co2NiS4
mp-22803,Cr2CuS4
mp-2550,NdTe2
mp-27380,FeMo3S4
mp-27512,Cr2NiS4
mp-27554,Ag3AuS2
mp-28308,Ta2NiS5
mp-28356,U6Cu2S13
mp-28507,La8Nb7S22
mp-2889,LaPd3S4
mp-28941,HfAg2S3
mp-29163,Ag2TeS3
mp-29211,V4Cu3S8
mp-29580,Ta9(CoS3)2
mp-29790,U3Te5
mp-2995,La2Fe2S5
mp-30075,Ti4FeS8
mp-3102,TaCuS3
mp-33449,Tb5AgS8
mp-33670,NbIrS4
mp-34009,Ce(SmS2)2
mp-34145,Ce2CdS4
mp-34376,Tb2CdS4
mp-34460,Ag3AuS2
mp-34486,Pr5AgS8
mp-34982,Ag3AuS2
mp-35512,Dy5AgS8
mp-35785,Y2CdS4
mp-3581,Ta4MnS8
mp-35835,Ag(AuS)2
mp-36052,ScUS2
mp-36088,La5SmS8
mp-3627,Eu(Mo3S4)2
mp-3669,Mn(NbS2)4
mp-37070,Pr2SmS4
mp-37199,Ce(NdS2)2
mp-37233,Nd2CdS4
mp-37449,Nd5AgS8
mp-37923,Sm5AgS8
mp-38901,Nd2SmS4
mp-38931,Tb2SmS4
mp-3925,Co2CuS4
mp-3926,NbAg7S6
mp-3930,Sc2MnS4
mp-3951,Ti2CuS4
mp-399,Te2Pt
mp-4182,CrAgS2
mp-4194,Zn(CrS2)2
mp-4841,LaCuS2
mp-504587,Fe9Cu9S16
mp-505522,Fe(NiS2)2
mp-5058,FeAgS2
mp-5081,SmCuS2
mp-510471,GdCuS2
mp-510490,GdScS3
mp-5178,V2CuS4
mp-5222,ReTeS
mp-5306,Nb4CrS8
mp-530870,Tb6CdS10
mp-530925,Fe6Ni9S20
mp-531696,Ti9ZnS16
mp-532220,Dy(CrS2)3
mp-5335,U2PdS4
mp-540724,Fe4Cu2S7
mp-542188,Cr(MoS2)2
mp-542189,Fe(MoS2)2
mp-542627,Fe2AgS3
mp-554120,DyCuS2
mp-555044,DyCuS2
mp-555345,CrCuS2
mp-555370,V(MoS2)2
mp-555795,Y2CrS4
mp-557373,Cu2WS4
mp-559388,U8FeS17
mp-559918,Ti2CuS4
mp-560676,CrAgS2
mp-561242,TaAgS3
mp-567584,Hf2Te
mp-5725,CuAg3S2
mp-572604,Eu2Re6S11
mp-5821,TaAgS3
mp-5862,CrCuS2
mp-615821,Ta9(FeS3)2
mp-619571,ScU8S17
mp-620369,TaAg7S6
mp-640073,FeCuS2
mp-644883,CuAg3S2
mp-669370,Ta5AuS
mp-672708,Fe(CuS)2
mp-672709,Fe(CuS)2
mp-673875,Fe2RhS4
mp-674355,Co(NiS2)2
mp-674858,Co(NiS2)2
mp-675037,Sm2EuS4
mp-675067,Sm2ZnS4
mp-675143,Eu(GdS2)2
mp-675307,Fe5Ni7S16
mp-675336,Pr10US16
mp-675380,Nb15IrS32
mp-675643,Ce5AgS8
mp-675691,Ni2RhS4
mp-675741,La10US16
mp-675781,Cu3(Mo3S4)4
mp-675920,Ti6AgS12
mp-676058,V3NiS6
mp-676156,Gd5AgS8
mp-676291,Ta6Te3S
mp-676402,Ti8Cu3S16
mp-676751,Cr5AgS8
mp-676880,Ce10US16
mp-677075,Gd2CdS4
mp-677272,La2EuS4
mp-677597,Ta4AgS8
mp-680259,TaTe4
mp-685224,Sc22Fe7S40
mp-685265,Nd6MnS10
mp-685513,Pr6MnS10
mp-685874,V(MoS2)2
mp-690962,Nb24(CuS8)5
mp-6980,ScCuS2
mp-7113,CrAuS2
mp-7276,ScUS3
mp-753211,FeCuS2
mp-760980,FeCu5S4
mp-7923,Co(MoS2)2
mp-8435,Ta2PdS6
mp-8911,CuAgS
mp-8976,Cu2WS4
mp-9483,Zr9V4S
mp-9635,Ag2HgS2
mp-971712,ZnCdS2
mp-978640,Sm(Mo3S4)2
mp-981379,Zn3CdS4
mp-985298,Ce2HfS5
mp-985558,Ce2US5
mvc-11131,Zn(CoS2)4
mvc-11132,Zn(NiS2)2
mvc-11313,Ti4ZnS8
mvc-11742,Zn(FeS2)4
mvc-12007,Y2(CuS2)3
mvc-12731,Ti4ZnS8
mvc-12859,ZnCo2S5
mvc-12948,Zn(FeS2)4
mvc-12972,Mn2ZnS5
mvc-134,ZnFe2S5
mvc-14446,V2ZnS4
mvc-14516,Y(CuS2)3
mvc-14774,Ti2ZnS5
mvc-14775,V2ZnS5
mp-1001012,Sc2ZnS4
mp-1001015,Y2ZnS4
mp-1001021,Y2ZnSe4
mp-1006324,Ce(YS2)3
mp-1008873,MnCoSe
mp-1018642,Y(CuS)2
mp-10199,Mn(NbS2)3
mp-1023929,WSeS
mp-1023953,MoSeS
mp-1023954,MoWS4
mp-1025151,Cr2NiSe4
mp-1025173,Ti(MoS2)2
mp-1025182,V2FeSe4
mp-1025190,Co2NiSe4
mp-1025231,Pr2CrS4
mp-1025263,Ti2NiS4
mp-1025291,Ti(NbSe2)2
mp-1025318,Co(NiSe2)2
mp-1025322,V(CoSe2)2
mp-1025347,Ti2CoSe4
mp-1025575,Mo(WSe3)2
mp-1025587,Te4W3S2
mp-1025685,Te4Mo3Se2
mp-1025689,Mo(WS3)2
mp-1025690,Te2W3S4
mp-1025733,Te4Mo3Se2
mp-1025819,Mo3(Se2S)2
mp-1025906,Mo3(Se2S)2
mp-1025986,Te2Mo3S4
mp-1026348,Te2W3Se4
mp-1026350,Te4W3Se2
mp-1026356,Te4W3Se2
mp-1026362,Te4W3S2
mp-1027273,MoW3S8
mp-1027492,MoSeS
mp-1027608,Mo2SeS3
mp-1027642,Te3Mo2S
mp-1027761,TeMo2S3
mp-1028414,MoWSe4
mp-1028456,TeWSe
mp-1028488,WSeS
mp-1028526,TeWS
mp-1028558,W2SeS3
mp-1028589,TeWSe
mp-1028598,Te3W2Se
mp-1028663,WSeS
mp-1028686,W2Se3S
mp-1028731,TeW2Se3
mp-1028762,TeW2Se3
mp-1028764,WSeS
mp-1028772,WSeS
mp-1028869,Te3W2S
mp-1030119,MoWS4
mp-1030274,Te3Mo2S
mp-1030447,Te3Mo2Se
mp-1030709,TeMoSe
mp-1030721,Te3Mo2Se
mp-10495,NdCuS2
mp-1065204,CrAgS2
mp-1077144,CdHgS4
mp-1077811,CuAgS
mp-1077938,Pr2CrSe4
mp-1077996,Cr(RhSe2)2
mp-1078058,Ti(CrS2)2
mp-1078162,Fe(RhSe2)2
mp-1078200,V2CoSe4
mp-1078247,Cr2FeS4
mp-1078249,Co(RhSe2)2
mp-1078597,ZnCd3Se4
mp-1079034,Zn3CdSe4
mp-1079562,UFeSe3
mp-1080466,Nb2PdS6
mp-1096795,YAgS2
mp-1096867,Cd(CuSe)2
mp-1096959,FeAgSe2
mp-1096969,FeAgS2
mp-1096975,FeCuS2
mp-1100873,YAgSe2
mp-1103734,Cr(Mo3Se4)2
mp-1103853,Tb(Mo3S4)2
mp-1103960,Pr(Mo3Se4)2
mp-1103966,Cd(Mo3Se4)2
mp-1103998,Fe(Mo3S4)2
mp-1104295,Nd(Mo3Se4)2
mp-1104366,Ti4NiS8
mp-1104431,Sm(Mo3Se4)2
mp-1104894,Cu(Mo3Se4)2
mp-1105059,Mn(Mo3Se4)2
mp-1105074,V(Mo3Se4)2
mp-1105840,Nb3VSe6
mp-1106349,SmPd3S4
mp-11193,VAuS2
mp-1173144,Ta2OsSe6
mp-1173369,Pr2EuSe4
mp-1173506,Nb9IrS20
mp-1173540,Sm31(CuSe16)3
mp-1173568,Sm6MnS10
mp-11791,CeCuSe2
mp-11792,PrCuSe2
mp-1181743,CoHgS4
mp-1186227,Nb3CoSe6
mp-1187280,Ta3CrSe6
mp-1188226,UCoSe3
mp-1188365,PrPd3S4
mp-1188372,UVSe3
mp-1188428,La3MnS5
mp-1188631,Ti(NbSe2)3
mp-1188840,SmScS3
mp-1189011,Ta3CrS6
mp-1189225,Nb3RhSe6
mp-1189616,Ta3FeS6
mp-1189627,Th2FeSe5
mp-1189832,Eu5(ZrS4)3
mp-1190059,EuHfS3
mp-1191230,Pr4FeS7
mp-1191552,Fe2AgS3
