material_id,pretty_formula
mp-32826,Dy2S3
mp-32868,Ag2S
mp-32884,Ag2S
mp-32891,Y2S3
mp-32906,La2S3
mp-32983,Nb3S5
mp-33239,Pu2S3
mp-362,Ni3S2
mp-36216,Ag2S
mp-370,CdS
mp-393,Pd16S7
mp-401,Sc2S3
mp-438,Nd2S3
mp-504,CuS
mp-510402,GdS
mp-523,CrS
mp-530018,Ta27S50
mp-530036,Tb11S16
mp-531574,Dy11S16
mp-541155,VS4
mp-541289,Y2S3
mp-542333,Cu9S5
mp-542794,Fe7S8
mp-553880,ZnS
mp-553916,ZnS
mp-553942,Cu2S
mp-554074,NbS2
mp-554115,ZnS
mp-554253,ZnS
mp-554462,TiS
mp-554503,ZnS
mp-554630,ZnS
mp-554681,ZnS
mp-554713,ZnS
mp-554820,ZnS
mp-554829,ZnS
mp-554961,ZnS
mp-554986,ZnS
mp-555037,TaS2
mp-555079,ZnS
mp-555151,ZnS
mp-555214,ZnS
mp-555280,ZnS
mp-555283,V3S
mp-555311,ZnS
mp-555410,ZnS
mp-555569,Cr2S3
mp-555583,ZnS
mp-555594,ZnS
mp-555628,ZnS
mp-555664,ZnS
mp-555666,ZnS
mp-555763,ZnS
mp-555773,ZnS
mp-555779,ZnS
mp-555858,ZnS
mp-555935,Ta2S
mp-556000,ZnS
mp-556005,ZnS
mp-556095,Dy3S4
mp-556152,ZnS
mp-556155,ZnS
mp-556161,ZnS
mp-556207,ZnS
mp-556225,Ag2S
mp-556280,ZnS
mp-556363,ZnS
mp-556392,ZnS
mp-556435,Fe7S8
mp-556448,ZnS
mp-556468,ZnS
mp-556485,ZnS
mp-556732,ZnS
mp-556775,ZnS
mp-556784,ZnS
mp-556853,MnS
mp-556950,ZnS
mp-556989,ZnS
mp-557009,ZnS
mp-557026,ZnS
mp-557058,ZnS
mp-557151,ZnS
mp-557175,ZnS
mp-557308,ZnS
mp-557346,ZnS
mp-557523,VS2
mp-557762,TiS
mp-558110,TiS2
mp-558139,CuS
mp-558378,Pd3S
mp-558544,MoS2
mp-558552,Ta6S
mp-559374,TiS3
mp-560025,Ag2S
mp-560588,ZnS
mp-560725,ZnS
mp-560786,Nd10S19
mp-561118,ZnS
mp-561196,ZnS
mp-561258,ZnS
mp-561375,Pr10S19
mp-562100,NbS3
mp-567,La3S4
mp-572758,ReS2
mp-581212,Cu2S
mp-581258,ZnS
mp-581405,ZnS
mp-581412,ZnS
mp-581425,ZnS
mp-581476,ZnS
mp-581602,ZnS
mp-582680,ZnS
mp-594,NiS
mp-608468,ZnS
mp-610517,Ag2S
mp-611224,VS2
mp-615366,FeS2
mp-616559,Ti2S
mp-618991,Cu2S
mp-624299,Cu7S4
mp-632475,NbS2
mp-634,HgS
mp-639,US2
mp-639690,PuS2
mp-645688,Ce10S19
mp-646008,Gd10S19
mp-647,NbS
mp-647075,ZnS
mp-655446,VS2
mp-669509,Gd2S3
mp-672,CdS
mp-673645,Mo7S8
mp-673649,Zr23S32
mp-673657,Ti7S12
mp-673800,U11S20
mp-674831,Cu2S
mp-680085,ZnS
mp-680850,Ti8S3
mp-683941,Nb14S5
mp-684604,CuS2
mp-684641,Fe2S
mp-684674,Cr5S8
mp-684707,Fe7S12
mp-684710,Cu9S5
mp-684711,Zr3S4
mp-684712,Gd2S3
mp-684731,Ti13S24
mp-684749,Zr3S4
mp-684860,Sm39S56
mp-684898,Cu18S11
mp-684969,Sc2S3
mp-684971,Nb11S12
mp-684978,Sc29S42
mp-685013,TiS2
mp-685056,Cu9S16
mp-685066,US2
mp-685108,Cu9S5
mp-685128,Fe7S8
mp-690772,V5S8
mp-7096,Fe3S4
mp-7135,TbS2
mp-7475,La2S3
mp-755263,CrS2
mp-755523,TaS2
mp-760381,CuS
mp-762,PtS2
mp-767469,Ni9S10
mp-7698,NdS2
mp-774873,NbS2
mp-7819,Pd4S
mp-7859,ZrS
mp-7945,V3S
mp-799,V3S4
mp-849053,NiS2
mp-849057,FeS
mp-849059,NiS2
mp-849060,VS2
mp-849071,Cr3S4
mp-849078,Ni2S
mp-849079,NiS2
mp-849080,VS2
mp-849081,Cr2S3
mp-849083,Cr2S3
